date,advancing_stocks,declining_stocks,total_stocks,URSI
2018-09-13,82,60,176,57.74647887323944
2018-09-14,89,50,176,64.02877697841727
2018-09-17,56,102,176,35.44303797468354
2018-09-18,99,42,176,70.2127659574468
2018-09-19,96,51,176,65.3061224489796
2018-09-20,106,40,176,72.6027397260274
2018-09-21,77,71,176,52.02702702702703
2018-09-24,86,61,176,58.50340136054422
2018-09-25,85,63,176,57.432432432432435
2018-09-26,98,55,177,64.05228758169935
2018-09-27,88,64,177,57.89473684210527
2018-09-28,67,87,177,43.506493506493506
2018-10-01,63,99,177,38.88888888888889
2018-10-02,69,93,177,42.592592592592595
2018-10-03,80,65,177,55.172413793103445
2018-10-04,105,42,177,71.42857142857143
2018-10-05,35,119,177,22.727272727272727
2018-10-08,46,102,177,31.08108108108108
2018-10-09,63,85,177,42.567567567567565
2018-10-10,55,96,177,36.423841059602644
2018-10-11,3,168,177,1.7543859649122806
2018-10-12,147,18,177,89.0909090909091
2018-10-15,37,117,177,24.025974025974026
2018-10-16,120,35,177,77.41935483870968
2018-10-17,123,33,177,78.84615384615384
2018-10-18,34,119,177,22.22222222222222
2018-10-19,53,87,177,37.857142857142854
2018-10-22,51,102,177,33.33333333333333
2018-10-23,29,136,177,17.575757575757574
2018-10-24,31,131,177,19.1358024691358
2018-10-25,28,121,177,18.79194630872483
2018-10-26,46,109,177,29.677419354838708
2018-10-29,51,91,177,35.91549295774648
2018-10-30,77,71,177,52.02702702702703
2018-10-31,137,27,177,83.53658536585365
2018-11-01,39,118,177,24.840764331210192
2018-11-02,125,31,177,80.12820512820514
2018-11-05,71,69,177,50.71428571428571
2018-11-06,62,82,177,43.05555555555556
2018-11-07,54,91,177,37.24137931034483
2018-11-08,96,51,177,65.3061224489796
2018-11-09,36,118,177,23.376623376623375
2018-11-12,76,68,177,52.77777777777778
2018-11-13,39,114,178,25.49019607843137
2018-11-14,51,87,178,36.95652173913043
2018-11-15,56,85,178,39.71631205673759
2018-11-16,111,40,178,73.50993377483444
2018-11-19,118,33,178,78.1456953642384
2018-11-20,65,78,178,45.45454545454545
2018-11-21,76,64,178,54.285714285714285
2018-11-22,74,67,178,52.4822695035461
2018-11-23,46,103,178,30.87248322147651
2018-11-26,66,79,179,45.51724137931035
2018-11-27,51,97,179,34.45945945945946
2018-11-28,81,67,179,54.729729729729726
2018-11-29,54,84,180,39.130434782608695
2018-11-30,75,67,180,52.816901408450704
2018-12-03,146,20,180,87.95180722891565
2018-12-04,68,75,180,47.55244755244755
2018-12-05,69,78,180,46.93877551020408
2018-12-06,59,84,180,41.25874125874126
2018-12-07,110,40,180,73.33333333333333
2018-12-10,56,99,180,36.12903225806451
2018-12-11,56,94,181,37.333333333333336
2018-12-12,99,40,181,71.22302158273382
2018-12-13,85,57,181,59.859154929577464
2018-12-14,34,117,181,22.516556291390728
2018-12-17,14,145,181,8.80503144654088
2018-12-18,38,120,181,24.050632911392405
2018-12-19,48,97,181,33.10344827586207
2018-12-20,84,59,181,58.74125874125874
2018-12-21,63,76,181,45.32374100719424
2018-12-24,47,109,181,30.128205128205128
2018-12-25,20,140,181,12.5
2018-12-26,66,74,181,47.14285714285714
2018-12-27,133,24,181,84.71337579617835
2018-12-28,60,89,180,40.26845637583892
2019-01-02,49,105,180,31.818181818181817
2019-01-03,16,137,180,10.457516339869281
2019-01-04,80,62,180,56.33802816901409
2019-01-07,104,44,180,70.27027027027027
2019-01-08,60,81,180,42.5531914893617
2019-01-09,106,40,180,72.6027397260274
2019-01-10,70,77,180,47.61904761904761
2019-01-11,90,56,180,61.64383561643836
2019-01-14,54,92,181,36.986301369863014
2019-01-15,108,40,181,72.97297297297297
2019-01-16,73,71,182,50.69444444444444
2019-01-17,39,110,182,26.174496644295303
2019-01-18,58,85,182,40.55944055944056
2019-01-21,92,66,182,58.22784810126582
2019-01-22,59,91,182,39.33333333333333
2019-01-23,79,53,182,59.84848484848485
2019-01-24,80,73,182,52.28758169934641
2019-01-25,68,76,182,47.22222222222222
2019-01-28,72,76,182,48.64864864864865
2019-01-29,71,71,182,50.0
2019-01-30,69,70,182,49.64028776978417
2019-01-31,79,67,182,54.109589041095894
2019-02-01,84,52,182,61.76470588235294
2019-02-11,124,31,182,80.0
2019-02-12,103,43,182,70.54794520547945
2019-02-13,101,44,182,69.6551724137931
2019-02-14,68,85,182,44.44444444444444
2019-02-15,59,85,182,40.97222222222222
2019-02-18,108,48,182,69.23076923076923
2019-02-19,55,102,182,35.03184713375796
2019-02-20,72,76,182,48.64864864864865
2019-02-21,67,79,182,45.89041095890411
2019-02-22,75,80,182,48.38709677419355
2019-02-25,103,46,182,69.12751677852349
2019-02-26,62,91,182,40.52287581699346
2019-02-27,89,64,182,58.16993464052288
2019-02-28,24,138,182,14.814814814814813
2019-03-01,133,20,182,86.9281045751634
2019-03-04,130,26,182,83.33333333333334
2019-03-05,70,79,182,46.97986577181208
2019-03-06,89,70,182,55.9748427672956
2019-03-07,63,96,182,39.62264150943396
2019-03-08,47,114,182,29.19254658385093
2019-03-11,81,71,182,53.289473684210535
2019-03-12,120,45,182,72.72727272727273
2019-03-13,93,70,182,57.05521472392638
2019-03-14,83,60,182,58.04195804195804
2019-03-15,70,90,182,43.75
2019-03-18,98,59,182,62.42038216560509
2019-03-19,54,101,182,34.83870967741935
2019-03-20,64,94,182,40.50632911392405
2019-03-21,35,130,182,21.21212121212121
2019-03-22,91,60,182,60.264900662251655
2019-03-25,25,147,182,14.534883720930234
2019-03-26,85,56,182,60.28368794326241
2019-03-27,119,26,182,82.06896551724138
2019-03-28,69,79,182,46.62162162162162
2019-03-29,63,81,182,43.75
2019-04-01,79,71,182,52.666666666666664
2019-04-02,64,82,182,43.83561643835616
2019-04-03,67,86,182,43.790849673202615
2019-04-04,97,46,182,67.83216783216784
2019-04-05,86,58,182,59.72222222222222
2019-04-08,86,66,182,56.57894736842105
2019-04-09,37,120,182,23.56687898089172
2019-04-10,46,105,181,30.4635761589404
2019-04-11,74,72,181,50.68493150684932
2019-04-12,74,86,181,46.25
2019-04-16,35,114,181,23.48993288590604
2019-04-17,39,114,182,25.49019607843137
2019-04-18,28,120,182,18.91891891891892
2019-04-19,103,45,182,69.5945945945946
2019-04-22,42,114,182,26.923076923076923
2019-04-23,90,52,181,63.38028169014085
2019-04-24,104,43,181,70.74829931972789
2019-04-25,54,92,181,36.986301369863014
2019-04-26,95,43,181,68.84057971014492
2019-05-02,56,96,181,36.84210526315789
2019-05-03,41,106,181,27.89115646258503
2019-05-06,19,145,181,11.585365853658537
2019-05-07,81,66,182,55.10204081632652
2019-05-08,62,86,182,41.891891891891895
2019-05-09,52,97,182,34.899328859060404
2019-05-10,114,42,182,73.07692307692307
2019-05-13,90,66,182,57.692307692307686
2019-05-14,92,62,182,59.74025974025974
2019-05-15,110,45,182,70.96774193548387
2019-05-16,59,86,182,40.689655172413794
2019-05-17,64,90,182,41.55844155844156
2019-05-20,94,48,181,66.19718309859155
2019-05-21,74,84,181,46.835443037974684
2019-05-22,55,92,181,37.41496598639456
2019-05-23,84,66,181,56.00000000000001
2019-05-24,44,111,181,28.387096774193548
2019-05-27,75,62,181,54.74452554744526
2019-05-28,63,84,180,42.857142857142854
2019-05-29,62,90,181,40.78947368421053
2019-05-30,64,84,181,43.24324324324324
2019-05-31,32,119,181,21.192052980132452
2019-06-03,22,138,181,13.750000000000002
2019-06-04,84,58,181,59.154929577464785
2019-06-05,91,59,181,60.66666666666667
2019-06-06,59,80,182,42.44604316546763
